time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0.66,0.288596,0.0307661,0.312665,-0.0607595,0.0426058,-0.0180077,0.99708,0.773122,-0.163302,-0.0189647,0.199876,0.668978,0.619165,-0.0109765,0.652823,-1.6777,0.00268573,1.12432,-1.65358,-0.00232354,0.827648,-1.435,0.0623199,-0.0563619,-0.961297,-0.302557,2.31961,-1.8255,0.14403,0.245818,-14.7427,0.836459,0.182708,2.14123,0.307011,2.41468,-2.49792,1,0,1,1,
0.68,0.304114,0.0270902,0.312344,-0.0579994,0.0462651,-0.0116691,0.997176,0.778321,-0.203127,-0.0151043,0.433348,0.10404,0.575352,-0.0154742,0.702866,-1.69423,0.00130348,1.05032,-1.84783,0.0123812,0.842448,-1.39558,0.0674227,0.0146368,-1.03482,-0.224885,2.50216,-0.826421,-0.0691126,-3.69991,-9.71245,0.735237,0.739969,1.97111,0.255141,3.54994,-3.67603,1,0,1,1,
0.7,0.319717,0.0226877,0.311982,-0.0524039,0.0436467,-0.00601932,0.997654,0.781761,-0.235962,-0.0230812,0.749992,-0.600579,0.531034,-0.0203732,0.756979,-1.68833,-0.00304788,0.946873,-1.92486,0.0230519,0.874372,-1.36484,0.0700905,0.102156,-1.12082,-0.244952,2.70566,0.29486,-0.217568,-5.17241,-3.85178,0.533533,1.59621,1.53705,0.133388,4.37595,-4.30027,1,0,1,1,
0.72,0.335381,0.0176964,0.311396,-0.0434346,0.0340195,-0.00105019,0.998476,0.784677,-0.26209,-0.0348759,1.06647,-1.24152,0.479202,-0.0274649,0.813813,-1.65853,-0.00843179,0.819135,-1.89856,0.0285752,0.927269,-1.34593,0.068975,0.209026,-1.22153,-0.354583,2.84171,1.49002,-0.269195,-6.38691,1.3152,0.276165,2.64486,0.945201,-0.0557733,5.34349,-5.03524,1,0,1,1,
0.74,0.351109,0.0122469,0.310615,-0.0317332,0.0193263,0.00314732,0.999305,0.788303,-0.281795,-0.0424691,1.28684,-1.62066,0.402075,-0.0362243,0.869136,-1.60882,-0.0164716,0.601891,-1.76715,0.030122,0.994925,-1.33345,0.0651082,0.329549,-1.32912,-0.437968,2.76612,2.48536,-0.401988,-10.8622,6.57016,0.0773419,3.38279,0.624118,-0.193343,6.02616,-5.37974,1,0,1,1,
0.76,0.366917,0.00646747,0.309725,-0.0183412,0.0021455,0.00635816,0.999809,0.792639,-0.295076,-0.0458608,1.39793,-1.74366,0.289575,-0.0453482,0.919302,-1.54483,-0.0273339,0.360696,-1.53449,0.0290889,1.06833,-1.32017,0.0600292,0.456346,-1.43474,-0.456197,2.50831,3.19956,-0.54312,-12.0597,11.633,-0.0516572,3.67035,0.664118,-0.253949,6.33985,-5.28102,1,0,0,1,
0.78,0.38282,0.00048666,0.308809,-0.00441549,-0.0149856,0.00819555,0.999844,0.797685,-0.301934,-0.0450509,1.39019,-1.61542,0.12505,-0.0532972,0.962253,-1.47242,-0.0381336,0.144924,-1.24755,0.0256364,1.14261,-1.39404,0.0550254,0.582024,-1.53066,-0.397449,2.14756,3.62052,-0.539982,-10.7886,14.3471,-0.172622,3.71369,-3.69347,-0.250191,6.28391,-4.79577,1,0,0,1,
0.8,0.39883,-0.00556707,0.307951,0.00881699,-0.0295716,0.00806894,0.999491,0.803442,-0.302368,-0.0400395,1.26123,-1.23857,-0.1091,-0.0583909,0.997258,-1.39755,-0.0443721,0.00216239,-1.00508,0.0202711,1.19389,-1.5683,0.0508573,0.698505,-1.6098,-0.254683,1.75026,3.74336,-0.311924,-7.13806,12.1237,-0.268266,2.56404,-8.71321,-0.208406,5.82407,-3.95706,1,0,0,1,
0.82,0.414964,-0.0115541,0.30722,0.0203403,-0.0396615,0.00546153,0.998991,0.810212,-0.294706,-0.0330691,1.07796,-0.766807,-0.347808,-0.0595521,1.02455,-1.32494,-0.0421131,0.0147652,-0.974936,0.0147255,1.17972,-1.75057,0.04737,0.798496,-1.66708,-0.0580596,1.36457,3.63065,0.112949,0.63014,1.50706,-0.277282,-0.708162,-9.11358,-0.174361,4.99951,-2.86406,1,1,0,1,
0.84,0.431247,-0.0172902,0.306626,0.0300412,-0.0453437,0.000817209,0.998519,0.818302,-0.277275,-0.0263819,0.90899,-0.351022,-0.511777,-0.0580175,1.0449,-1.25443,-0.0330437,0.102451,-1.06249,0.011369,1.08736,-1.87738,0.0434669,0.881618,-1.70371,0.0767282,1.0177,3.52567,0.453468,4.3843,-4.37773,-0.167824,-4.61827,-6.3404,-0.195159,4.1561,-1.83147,1,1,0,1,
